":Default:",":Definition:",":Example:",":Restrictions:",":Type:",":Unit:","label","ref","category","see_also"
0,"Price of energy carrier sourced from the utility grid.",0.1,None,"numeric","currency/energy carrier unit","energy_price","energyprice-label","providers",
"Electricity","Energy vector/commodity. Convention: For an energy conversion asset define energyVector of the output. For a sink define based on inflow. For a source define based on output flow. For a storage, define based on stored energy carrier.","Electricity","One of “Electricity”, “Gas”, “Bio-Gas”, “Diesel”, “Heat”, “H2”","str",None,"energyVector","energyvector-label","busses;consumption;production;storage;providers;conversion",
365,"The number of days simulated with the energy system model.",365,"Natural number","numeric","Day","evaluated_period","evaluatedperiod-label","simulation_settings",
0,"Price received for feeding electricity into the grid.",0.7,"Real number between 0 and 1","numeric","currency/kWh","feedin_tariff","feedintariff-label","providers",
None,"Name of a csv file containing the input generation or demand timeseries.","demand_harbor.csv","This file must be placed in a folder named “time_series” inside your input folder.","str",None,"file_name","filename-label","consumption;production;storage",
0,"Thermal losses of storage independent of state of charge and independent of nominal storage capacity between two consecutive timesteps.",0.0003,"Between 0 and 1","numeric","factor","fixed_thermal_losses_absolute","fixed_thermal_losses_absolute-label","storage_csv",
0,"Thermal losses of storage independent of state of charge between two consecutive timesteps relative to nominal storage capacity.",0.0016,"Between 0 and 1","numeric","factor","fixed_thermal_losses_relative","fixed_thermal_losses_relative-label","storage_csv",
None,"The label of the bus/component from which the energyVector is arriving into the asset.","Electricity or “[Electricity, Heat]” for multiple input busses",None,"str",None,"inflow_direction","inflowdirection-label","consumption;conversion;providers;storage",
0,"The already existing installed capacity in-place. If the project lasts longer than its remaining lifetime, its replacement costs will be taken into account.",50,"Each component in the “energy production” category must have a value.","numeric","kWp","installedCap","installedcap-label","conversion;production;storage_csv",
None,"Name of the asset for display purposes","pv_plant_01","Input the names in a computer friendly format, preferably with underscores instead of spaces, and avoiding special characters","str",None,"label","labl-label","fixcost",
None,"Latitude coordinate of the project's geographical location.",45.641603,"Should follow geographical convention","numeric",None,"latitude","latitude-label","project_data",
20,"Number of operational years of the asset until it has to be replaced.",30,"Natural number","numeric","Year","lifetime","lifetime-label","conversion;production;storage_csv;fixcost",
None,"Longitude coordinate of the project's geographical location.",10.95787,"Should follow geographical convention","numeric",None,"longitude","longitude-label","project_data",
None,"The maximum amount of total emissions in the optimized energy system.",100000,"Acceptable values are either a positive real number or None","numeric","kgCO2eq/a","maximum_emissions","maxemissions-label","constraints",
None,"The maximum total capacity of an asset that can be installed at the project site. This includes the installed and the also the maximum additional capacity possible. An example would be that a roof can only carry 50 kWp PV (maximumCap), whereas the installed capacity is already 10 kWp. The optimization would only be allowed to add 40 kWp PV at maximum.",1050,"Acceptable values are either a positive real number or None","numeric","kWp","maximumCap","maxcap-label","production",
0,"The minimal degree of autonomy that needs to be met by the optimization.",0.3,"Between 0 and 1","numeric","factor","minimal_degree_of_autonomy","minda-label","constraints",
0,"The minimum share of energy supplied by renewable generation in the optimized energy system. Insert the value 0 to deactivate this constraint.",0.7,"Between 0 and 1","numeric","factor","minimal_renewable_factor","minrenshare-label","constraints",
"False","Specifies whether optimization needs to result into a net zero energy system (True) or not (False).","True","Acceptable values are either True or False.","boolean",None,"net_zero_energy","nzeconstraint-label","constraints",
"False","Allow the user to perform capacity optimization for an asset.","True","Permissible values are either True or False","boolean",None,"optimizeCap","optimizecap-label","conversion;production;providers;storage",
None,"The label of bus/component towards which the energyVector is leaving from the asset.","Electricity or “[Electricity, Heat]” for multiple output busses",None,"str",None,"outflow_direction","outflowdirec-label","consumption;conversion;providers;storage",
"False","Enable the generation of a file with the linear equation system describing the simulation, ie., with the objective function and all the constraints. This lp file enables the user look at the underlying equations of the optimization.","False","Acceptable values are either True or False","boolean",None,"output_lp_file","outputlpfile-label","simulation_settings",
0,"Price to be paid additionally for energy-consumption based on the peak demand of a given period.",60,None,"numeric","currency/kW","peak_demand_pricing","peakdemand-label","providers","peakdemandperiod-label"
1,"Number of reference periods in one year for the peak demand pricing.",2,"Only one of the following are acceptable values: 1 (yearly), 2, 3 ,4, 6, 12 (monthly)","numeric","times per year (1,2,3,4,6,12)","peak_demand_pricing_period","peakdemandperiod-label","providers","peakdemand-label"
20,"The number of years the project is intended to be operational. The project duration also sets the installation time of the assets used in the simulation. After the project ends these assets are 'sold' and the refund is charged against the initial investment costs.",30,"Natural number","numeric","Years","project_duration","projectduration-label","economic_data",
None,"Users can assign a project ID as per their preference.",1,"Cannot be the same as an already existing project","str",None,"project_id","projectid-label","project_data",
None,"Users can assign a project name as per their preference.","Borg Havn",None,"str",None,"project_name","projectname-label","project_data",
0,"The share of renewables in the generation mix of the energy supplied by the DSO (utility).",0.1,"Real number between 0 and 1","numeric","Factor","renewable_share","renshare-label","providers",
"False","Allow the user to tag as asset as renewable.","True","Acceptable values are either True or False","boolean",None,"renewableAsset","renewableasset-label","production",
None,"Brief description of the scenario being simulated.","This scenario simulates a sector-coupled energy system",None,"str",None,"scenario_description","scenariodescription-label","project_data",
None,"Users can assign a scenario id as per their preference.",1,"Cannot be the same as an already existing scenario within the project","str",None,"scenario_id","scenarioid-label","project_data",
None,"Users can assign a scenario name as per their preference.","Warehouse 14",None,"str",None,"scenario_name","scenarioname-label","project_data",
None,"The level of charge (as a factor of the actual capacity) in the storage in the initial (0) time-step.",":code:`storage capacity`: None, :code:`input power`: NaN, :code:`output power`: NaN","Acceptable values are either None or the factor. Only the column :code:`storage capacity` requires a value, in column :code:`input power` and :code:`output power` :code:`soc_initial` should be set to NaN. The :code:`soc_initial` has to be within the [0,1] interval.","numeric","None or factor","soc_initial","socin-label","storage_csv",
1,"The maximum permissible level of charge in the battery (generally, it is when the battery is filled to its nominal capacity), represented by the value 1.0. Users can  also specify a certain value as a factor of the actual capacity.",":code:`storage capacity`: 1, :code:`input power`: NaN, :code:`output power`: NaN","Only the column :code:`storage capacity` requires a value, in column :code:`input power` and :code:`output power` :code:`soc_max` should be set to NaN. The :code:`soc_max` has to be in the [0,1] interval.","numeric","Factor","soc_max","socmax-label","storage_csv",
0,"The minimum permissible level of charge in the battery as a factor of the nominal capacity of the battery.",":code:`storage capacity`:0.2, :code:`input power`: NaN, :code:`output power`: NaN","Only the column :code:`storage capacity` requires a value, in column :code:`input power` and :code:`output power` :code:`soc_min` should be set to NaN. The soc_min has to be in the [0,1] interval.","numeric","Factor","soc_min","socmin-label","storage_csv",
0,"Actual CAPEX of an asset, i.e., specific investment costs",4000,None,"numeric","currency/unit","specific_costs","specificcosts-label","conversion;production;storage_csv;fixcost",
0,"Actual OPEX of an asset, i.e., specific operational and maintenance costs.",120,None,"numeric","currency/unit/year","specific_costs_om","specificomcosts-label","conversion;production;storage_csv;fixcost",
None,"The date and time on which the simulation starts at the first step.","2018-01-01 00:00:00","Acceptable format is YYYY-MM-DD HH:MM:SS","str",None,"start_date","startdate-label","simulation_settings",
None,"Name of a csv file containing the properties of a storage component","storage_01.csv","Follows the convention of 'storage_xx.csv' where 'xx' is a number. This file must be placed in a folder named “csv_elements” inside your input folder.","str",None,"storage_filename","storagefilename-label","storage",
0,"Tax factor.",0,"Between 0 and 1","numeric","Factor","tax","tax-label","economic_data",
60,"Length of the time-steps.",60,"Can only be 60 at the moment","numeric","Minutes","timestep","timestep-label","simulation_settings",
None,"The type of the component.","demand","*demand*","str",None,"type_asset","typeasset-label","hidden",
None,"Input the type of OEMOF component. For example, a PV plant would be a source, a solar inverter would be a transformer, etc.  The `type_oemof` will later on be determined through the EPA.","sink","*sink* or *source* or one of the other component classes of OEMOF.","str",None,"type_oemof","typeoemof-label","consumption;conversion;production;providers;storage",
None,"Unit associated with the capacity of the component.","Storage could have units like kW or kWh, transformer station could have kVA, and so on.","Appropriate scientific unit","str","NA","unit","unit-label","consumption;conversion;production;providers;storage_csv",
0,Power loss index for CHPs,0.6,Between 0 and 1,numeric,factor,beta,beta-label,conversion,
