ref,label,:Unit:,:Valid Interval:,:Type:,category,see_also,:Definition:
Total_emissions,Total GHG emissions,kg GHGeq,">=0",Numeric,environmental,"Renewable factor, Specific emissions per electricity equivalent",Total greenhouse gas emissions in kg.
Attributed_costs,Costs attributed to the electricity sector,currency,">=0",Numeric,economic,cost_total,"Costs attributed to supplying the electricity sectors demand, based on Net Present Costs of the energy system and the share of electricity compared to the overall system demand."
Degree_of_autonomy,Degree of Autonomy,Factor,"[0,1]",Numeric,technical,Total_demand,"A degree of autonomy close to zero shows high dependence on the DSO, while a degree of autonomy of 1 represents an autonomous or net-energy system and a degree of autonomy higher 1 a surplus-energy system"
Levelized_costs_of_electricity_equivalent,Levelized costs of electricity equivalent,currency/kWheleq,">=0",Numeric,economic,"cost_total, Total_demand","Levelized cost of energy of the sector-coupled energy system, calculated from the systems annuity and the total system demand in electricity equivalent."
onsite_energy_fraction,Onsite energy fraction,Factor,"[0,1]",Numeric,technical,Onsite energy matching,Onsite energy fraction is also referred to as self-consumption. It describes the fraction of all locally generated energy that is consumed by the system itself.
onsite_energy_matching,Onsite energy matching,Factor,"[0,1]",Numeric,technical,"Onsite energy fraction, Total_feedin",The onsite energy matching is also referred to as self-sufficiency. It describes the fraction of the total demand that can be covered by the locally generated energy. Notice that the feed into the grid should only be positive.
renewable_factor,Renewable factor,Factor,"[0,1]",Numeric,technical,"Renewable share of local generation, Onsite energy fraction, Onsite energy matching",Describes the share of the energy influx to the local energy system that is provided from renewable sources. This includes both local generation as well as consumption from energy providers.
Renewable_share_of_local_generation,Renewable share of local generation,Factor,"[0,1]",Numeric,technical,Renewable factor,The renewable share of local generation describes how much of the energy generated locally is produced from renewable sources. It does not take into account the consumption from energy providers.
Specific_emissions_per_electricity_equivalent,Specific GHG per electricity equivalent,kg GHGeq/kWh,">=0",Numeric,environmental,Total emissions,"Specific GHG emissions per supplied electricity equivalent"
total_internal_generation,Total local generation,kWheleq,">=0",Numeric,technical,"Total internal non-renewable generation, Total internal renewable generation",Aggregated amount of energy generated within the energy system
total_internal_non-renewable_generation,Total non-renewable local generation,kWheleq,">=0",Numeric,technical,"Total internal generation, Total internal renewable generation",Aggregated amount of non-renewable energy generated within the energy system
total_internal_renewable_generation,Total renewable local generation,kWheleq,">=0",Numeric,technical,"Total internal generation, Total internal non-renewable generation",Aggregated amount of renewable energy generated within the energy system
total_non-renewable_energy_use,Total non-renewable energy use,kWheleq,">=0",Numeric,technical,Total renewable energy use,Aggregated amount of non-renewable energy used within the energy system (ie. Including local generation and external supply).
total_renewable_energy_use,Total renewable energy use,kWheleq,">=0",Numeric,technical,Total non-renewable energy use,Aggregated amount of renewable energy used within the energy system (ie. Including local generation and external supply).
Total_demand,Energy demand,kWh/kWheleq/...,">=0",Numeric,technical,,Demand of electricity in local energy system.
Total_excess,Energy excess,kWh/kWheleq/...,">=0",Numeric,technical,,Excess of electricity / unused electricity in local energy system.
Total_feedin,Energy export,kWh/kWheleq/...,">=0",Numeric,technical,Onsite energy fraction,Feed-in of electricity into external grid.
